# x	y	u	v	flags	mask
5.1388e+00	7.6668e-01	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
1.5541e-01	6.3199e-01	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
2.9010e-01	6.3199e-01	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
4.2478e-01	6.3199e-01	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
5.5947e-01	6.3199e-01	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
6.9416e-01	6.3199e-01	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
8.2884e-01	6.3199e-01	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
9.6353e-01	6.3199e-01	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
1.0982e+00	6.3199e-01	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
1.2329e+00	6.3199e-01	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
1.3676e+00	6.3199e-01	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
1.5023e+00	6.3199e-01	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
1.6370e+00	6.3199e-01	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
1.7717e+00	6.3199e-01	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
1.9063e+00	6.3199e-01	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
2.0410e+00	6.3199e-01	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
2.1757e+00	6.3199e-01	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
2.3104e+00	6.3199e-01	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
2.4451e+00	6.3199e-01	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
2.5798e+00	6.3199e-01	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
2.7145e+00	6.3199e-01	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
2.8492e+00	6.3199e-01	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
2.9838e+00	6.3199e-01	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
3.1185e+00	6.3199e-01	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
3.2532e+00	6.3199e-01	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
3.3879e+00	6.3199e-01	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
3.5226e+00	6.3199e-01	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
3.6573e+00	6.3199e-01	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
3.7920e+00	6.3199e-01	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
3.9266e+00	6.3199e-01	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
4.0613e+00	6.3199e-01	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
4.1960e+00	6.3199e-01	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
4.3307e+00	6.3199e-01	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
4.4654e+00	6.3199e-01	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
4.6001e+00	6.3199e-01	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
4.7348e+00	6.3199e-01	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
4.8695e+00	6.3199e-01	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
5.0041e+00	6.3199e-01	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
5.1388e+00	6.3199e-01	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
1.5541e-01	4.9731e-01	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
2.9010e-01	4.9731e-01	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
4.2478e-01	4.9731e-01	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
5.5947e-01	4.9731e-01	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
6.9416e-01	4.9731e-01	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
8.2884e-01	4.9731e-01	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
9.6353e-01	4.9731e-01	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
1.0982e+00	4.9731e-01	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
1.2329e+00	4.9731e-01	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
1.3676e+00	4.9731e-01	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
1.5023e+00	4.9731e-01	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
1.6370e+00	4.9731e-01	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
1.7717e+00	4.9731e-01	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
1.9063e+00	4.9731e-01	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
2.0410e+00	4.9731e-01	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
2.1757e+00	4.9731e-01	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
2.3104e+00	4.9731e-01	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
2.4451e+00	4.9731e-01	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
2.5798e+00	4.9731e-01	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
2.7145e+00	4.9731e-01	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
2.8492e+00	4.9731e-01	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
2.9838e+00	4.9731e-01	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
3.1185e+00	4.9731e-01	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
3.2532e+00	4.9731e-01	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
3.3879e+00	4.9731e-01	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
3.5226e+00	4.9731e-01	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
3.6573e+00	4.9731e-01	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
3.7920e+00	4.9731e-01	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
3.9266e+00	4.9731e-01	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
4.0613e+00	4.9731e-01	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
4.1960e+00	4.9731e-01	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
4.3307e+00	4.9731e-01	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
4.4654e+00	4.9731e-01	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
4.6001e+00	4.9731e-01	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
4.7348e+00	4.9731e-01	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
4.8695e+00	4.9731e-01	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
5.0041e+00	4.9731e-01	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
5.1388e+00	4.9731e-01	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
1.5541e-01	3.6262e-01	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
2.9010e-01	3.6262e-01	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
4.2478e-01	3.6262e-01	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
5.5947e-01	3.6262e-01	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
6.9416e-01	3.6262e-01	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
8.2884e-01	3.6262e-01	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
9.6353e-01	3.6262e-01	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
1.0982e+00	3.6262e-01	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
1.2329e+00	3.6262e-01	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
1.3676e+00	3.6262e-01	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
1.5023e+00	3.6262e-01	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
1.6370e+00	3.6262e-01	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
1.7717e+00	3.6262e-01	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
1.9063e+00	3.6262e-01	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
2.0410e+00	3.6262e-01	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
2.1757e+00	3.6262e-01	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
2.3104e+00	3.6262e-01	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
2.4451e+00	3.6262e-01	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
2.5798e+00	3.6262e-01	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
2.7145e+00	3.6262e-01	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
2.8492e+00	3.6262e-01	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
2.9838e+00	3.6262e-01	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
3.1185e+00	3.6262e-01	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
3.2532e+00	3.6262e-01	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
3.3879e+00	3.6262e-01	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
3.5226e+00	3.6262e-01	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
3.6573e+00	3.6262e-01	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
3.7920e+00	3.6262e-01	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
3.9266e+00	3.6262e-01	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
4.0613e+00	3.6262e-01	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
4.1960e+00	3.6262e-01	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
4.3307e+00	3.6262e-01	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
4.4654e+00	3.6262e-01	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
4.6001e+00	3.6262e-01	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
4.7348e+00	3.6262e-01	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
4.8695e+00	3.6262e-01	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
5.0041e+00	3.6262e-01	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
5.1388e+00	3.6262e-01	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
1.5541e-01	2.2793e-01	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
2.9010e-01	2.2793e-01	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
4.2478e-01	2.2793e-01	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
5.5947e-01	2.2793e-01	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
6.9416e-01	2.2793e-01	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
8.2884e-01	2.2793e-01	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
9.6353e-01	2.2793e-01	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
1.0982e+00	2.2793e-01	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
1.2329e+00	2.2793e-01	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
1.3676e+00	2.2793e-01	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
1.5023e+00	2.2793e-01	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
1.6370e+00	2.2793e-01	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
1.7717e+00	2.2793e-01	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
1.9063e+00	2.2793e-01	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
2.0410e+00	2.2793e-01	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
2.1757e+00	2.2793e-01	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
2.3104e+00	2.2793e-01	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
2.4451e+00	2.2793e-01	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
2.5798e+00	2.2793e-01	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
2.7145e+00	2.2793e-01	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
2.8492e+00	2.2793e-01	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
2.9838e+00	2.2793e-01	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
3.1185e+00	2.2793e-01	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
3.2532e+00	2.2793e-01	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
3.3879e+00	2.2793e-01	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
3.5226e+00	2.2793e-01	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
3.6573e+00	2.2793e-01	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
3.7920e+00	2.2793e-01	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
3.9266e+00	2.2793e-01	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
4.0613e+00	2.2793e-01	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
4.1960e+00	2.2793e-01	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
4.3307e+00	2.2793e-01	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
4.4654e+00	2.2793e-01	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
4.6001e+00	2.2793e-01	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
4.7348e+00	2.2793e-01	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
4.8695e+00	2.2793e-01	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
5.0041e+00	2.2793e-01	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
5.1388e+00	2.2793e-01	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
1.5541e-01	9.3245e-02	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
2.9010e-01	9.3245e-02	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
4.2478e-01	9.3245e-02	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
5.5947e-01	9.3245e-02	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
6.9416e-01	9.3245e-02	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
8.2884e-01	9.3245e-02	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
9.6353e-01	9.3245e-02	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
1.0982e+00	9.3245e-02	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
1.2329e+00	9.3245e-02	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
1.3676e+00	9.3245e-02	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
1.5023e+00	9.3245e-02	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
1.6370e+00	9.3245e-02	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
1.7717e+00	9.3245e-02	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
1.9063e+00	9.3245e-02	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
2.0410e+00	9.3245e-02	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
2.1757e+00	9.3245e-02	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
2.3104e+00	9.3245e-02	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
2.4451e+00	9.3245e-02	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
2.5798e+00	9.3245e-02	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
2.7145e+00	9.3245e-02	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
2.8492e+00	9.3245e-02	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
2.9838e+00	9.3245e-02	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
3.1185e+00	9.3245e-02	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
3.2532e+00	9.3245e-02	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
3.3879e+00	9.3245e-02	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
3.5226e+00	9.3245e-02	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
3.6573e+00	9.3245e-02	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
3.7920e+00	9.3245e-02	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
3.9266e+00	9.3245e-02	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
4.0613e+00	9.3245e-02	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
4.1960e+00	9.3245e-02	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
4.3307e+00	9.3245e-02	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
4.4654e+00	9.3245e-02	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
4.6001e+00	9.3245e-02	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
4.7348e+00	9.3245e-02	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
4.8695e+00	9.3245e-02	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
5.0041e+00	9.3245e-02	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
5.1388e+00	9.3245e-02	0.0000e+00	0.0000e+00	1.0000e+00	0.0000e+00
